SID,CB,block,trial,memrich,mondrich,eye,loc,image,urban,resp,corr,RT,cond,phase,locrep,eyerep
1,1,6,8,1,3,1,4,5,1,1,1,1758.209236,3,1,0,0
1,1,6,9,1,3,2,4,9,2,2,1,1069.221987,3,1,0,0
1,1,6,10,1,3,1,1,2,1,1,1,1703.329348,1,1,0,0
1,1,6,11,1,3,2,2,3,1,1,1,864.4831157,3,1,0,0
1,1,6,12,1,3,2,1,4,1,1,1,947.0450017,1,1,0,1
1,1,6,13,1,3,1,2,7,2,2,1,5387.435764,3,1,0,0
1,1,6,14,1,3,1,1,8,2,2,1,4409.252041,1,1,0,1
1,1,6,15,1,3,1,2,10,2,2,1,4622.626629,3,1,0,1
1,1,6,16,1,3,2,1,4,1,1,1,987.4019721,1,1,0,0
1,1,6,17,1,3,1,3,6,2,2,1,2448.695297,2,1,1,0
1,1,6,18,1,3,2,3,2,1,1,1,1364.171651,2,1,0,0
1,1,6,19,1,3,1,2,1,1,1,1,1787.209227,3,1,0,0
1,1,6,20,1,3,1,4,7,2,2,1,4521.234546,3,1,0,1
1,1,6,21,1,3,2,2,9,2,2,1,728.9739251,3,1,1,0
1,1,6,22,1,3,2,2,10,2,2,1,1281.35136,3,1,1,1
1,1,6,23,1,3,2,1,6,2,2,1,5995.747224,1,1,0,1
1,1,6,24,1,3,2,1,7,2,2,1,1089.063681,1,1,1,1
1,1,6,25,1,3,2,1,5,1,1,1,930.8398892,1,1,1,1
1,1,6,26,1,3,2,3,8,2,2,1,922.4779657,2,1,0,1
1,1,6,27,1,3,1,3,3,1,1,1,2691.066029,2,1,0,0
1,1,6,28,1,3,1,1,5,1,1,1,1628.986397,1,1,0,1
1,1,6,29,1,3,2,1,9,2,2,1,1040.824086,1,1,0,0
1,1,6,30,1,3,1,1,6,2,2,1,1132.452898,1,1,0,0
1,1,6,31,1,3,2,3,3,1,1,1,764.2843104,2,1,1,0
1,1,6,32,1,3,2,1,8,2,2,1,1050.976888,1,1,0,1
1,1,6,33,1,3,1,1,9,2,2,1,1990.445761,1,1,0,0
1,1,6,34,1,3,2,4,10,2,2,1,883.490284,3,1,0,0
1,1,6,35,1,3,1,1,7,2,2,1,1373.250118,1,1,0,0
1,1,6,36,1,3,1,3,4,1,1,1,1523.546081,2,1,0,1
1,1,6,37,1,3,1,4,9,2,2,1,3620.14261,3,1,0,1
1,1,6,38,1,3,1,4,2,1,1,1,1440.67257,3,1,1,1
1,1,6,39,1,3,2,1,8,2,2,1,1596.195617,1,1,0,0
1,1,6,40,1,3,1,1,1,1,1,1,793.7712939,1,1,0,0
1,1,6,41,1,3,1,1,6,2,2,1,1607.821902,1,1,1,1
1,1,6,42,1,3,2,2,2,1,1,1,828.3644943,3,1,0,0
1,1,6,43,1,3,1,2,1,1,1,1,3049.21839,3,1,0,0
1,1,6,44,1,3,1,1,10,2,2,1,6548.380178,1,1,0,1
1,1,6,45,1,3,2,1,3,1,1,1,1475.994177,1,1,0,0
1,1,6,46,1,3,1,3,7,2,2,1,2630.105936,2,1,1,0
1,1,6,47,1,3,1,1,4,1,1,1,3882.583623,1,1,0,1
1,1,6,48,1,3,2,4,5,1,1,1,796.215558,3,1,0,0
1,1,7,1,1,3,2,1,7,2,2,1,3000.820098,1,1,0,1
1,1,7,2,1,3,1,1,2,1,1,1,1037.647889,1,1,0,0
1,1,7,3,1,3,2,4,1,1,1,1,921.8358016,3,1,0,0
1,1,7,4,1,3,2,1,5,1,1,1,1074.060502,1,1,0,1
1,1,7,5,1,3,2,1,4,1,1,1,1156.37264,1,1,1,1
1,1,7,6,1,3,1,1,4,1,1,1,810.8433131,1,1,0,0
1,1,7,7,1,3,2,3,10,2,2,1,800.3227813,2,1,1,0
1,1,7,8,1,3,1,4,3,1,1,1,1341.142539,3,1,0,0
1,1,7,9,1,3,2,4,8,2,2,1,700.2954981,3,1,0,0
1,1,7,10,1,3,1,1,5,1,1,1,781.2463632,1,1,0,0
1,1,7,11,1,3,2,2,1,1,1,1,827.041693,3,1,0,0
1,1,7,12,1,3,2,1,2,1,1,1,863.5267615,1,1,0,1
1,1,7,13,1,3,1,2,9,2,2,1,1514.39067,3,1,0,0
1,1,7,14,1,3,1,1,9,2,1,0,819.0119131,1,1,0,1
1,1,7,15,1,3,1,2,7,2,2,1,2895.45833,3,1,0,1
1,1,7,16,1,3,2,1,4,1,1,1,1736.173348,1,1,0,0
1,1,7,17,1,3,1,3,10,2,2,1,2663.949571,2,1,1,0
1,1,7,18,1,3,2,3,1,1,1,1,747.3283494,2,1,0,0
1,1,7,19,1,3,1,2,3,1,1,1,1258.559493,3,1,0,0
1,1,7,20,1,3,1,4,8,2,2,1,1893.610384,3,1,0,1
1,1,7,21,1,3,2,2,6,2,2,1,999.1843901,3,1,1,0
1,1,7,22,1,3,2,2,7,2,2,1,996.2463998,3,1,1,1
1,1,7,23,1,3,2,1,8,2,2,1,1114.161953,1,1,0,1
1,1,7,24,1,3,2,1,10,2,2,1,1330.612069,1,1,1,1
1,1,7,25,1,3,2,1,5,1,1,1,1211.275612,1,1,1,1
1,1,7,26,1,3,2,3,6,2,2,1,2648.384057,2,1,0,1
1,1,7,27,1,3,1,3,2,1,1,1,3395.370005,2,1,0,0
1,1,7,28,1,3,1,1,2,1,1,1,1217.035214,1,1,0,1
1,1,7,29,1,3,2,1,9,2,2,1,1333.573784,1,1,0,0
1,1,7,30,1,3,1,1,8,2,2,1,1669.124716,1,1,0,0
1,1,7,31,1,3,2,3,3,1,1,1,1039.275582,2,1,1,0
1,1,7,32,1,3,2,1,9,2,2,1,2099.018672,1,1,0,1
1,1,7,33,1,3,1,1,7,2,2,1,2132.093183,1,1,0,0
1,1,7,34,1,3,2,4,10,2,2,1,1067.881874,3,1,0,0
1,1,7,35,1,3,1,1,6,2,2,1,2702.23738,1,1,0,0
1,1,7,36,1,3,1,3,1,1,1,1,5039.619267,2,1,0,1
1,1,7,37,1,3,1,4,10,2,2,1,2235.41753,3,1,0,1
1,1,7,38,1,3,1,4,4,1,1,1,2511.248778,3,1,1,1
1,1,7,39,1,3,2,1,7,2,2,1,2272.623952,1,1,0,0
1,1,7,40,1,3,1,1,5,1,1,1,922.9643182,1,1,0,0
1,1,7,41,1,3,1,1,8,2,2,1,2923.559033,1,1,1,1
1,1,7,42,1,3,2,2,5,1,1,1,1307.402139,3,1,0,0
1,1,7,43,1,3,1,2,4,1,1,1,2956.480619,3,1,0,0
1,1,7,44,1,3,1,1,6,2,2,1,1140.021012,1,1,0,1
1,1,7,45,1,3,2,1,2,1,1,1,1459.165494,1,1,0,0
1,1,7,46,1,3,1,3,9,2,2,1,3214.743556,2,1,1,0
1,1,7,47,1,3,1,1,1,1,1,1,1675.090786,1,1,0,1
1,1,7,48,1,3,2,4,3,1,1,1,1189.270821,3,1,0,0
1,1,8,1,1,3,2,1,9,2,2,1,1188.306452,1,1,0,1
1,1,8,2,1,3,1,1,4,1,1,1,1121.706984,1,1,0,0
1,1,8,3,1,3,2,4,1,1,1,1,1145.615505,3,1,0,0
1,1,8,4,1,3,2,1,3,1,1,1,945.5542057,1,1,0,1
1,1,8,5,1,3,2,1,2,1,1,1,1121.207808,1,1,1,1
1,1,8,6,1,3,1,1,3,1,1,1,1025.079677,1,1,0,0
1,1,8,7,1,3,2,3,7,2,2,1,893.3256902,2,1,1,0
1,1,8,8,1,3,1,4,4,1,1,1,2479.403451,3,1,0,0
1,1,8,9,1,3,2,4,10,2,2,1,1097.408612,3,1,0,0
1,1,8,10,1,3,1,1,5,1,1,1,1155.037656,1,1,0,0
1,1,8,11,1,3,2,2,1,1,1,1,826.2267248,3,1,0,0
1,1,8,12,1,3,2,1,2,1,1,1,1022.64439,1,1,0,1
1,1,8,13,1,3,1,2,8,2,2,1,2074.589494,3,1,0,0
1,1,8,14,1,3,1,1,10,2,2,1,1005.260747,1,1,0,1
1,1,8,15,1,3,1,2,6,2,2,1,2922.054451,3,1,0,1
1,1,8,16,1,3,2,1,3,1,1,1,1082.335222,1,1,0,0
1,1,8,17,1,3,1,3,8,2,2,1,2772.560954,2,1,1,0
1,1,8,18,1,3,2,3,2,1,1,1,778.4369341,2,1,0,0
1,1,8,19,1,3,1,2,5,1,1,1,5673.186414,3,1,0,0
1,1,8,20,1,3,1,4,9,2,2,1,1307.443176,3,1,0,1
1,1,8,21,1,3,2,2,7,2,2,1,1020.448592,3,1,1,0
1,1,8,22,1,3,2,2,7,2,2,1,952.7491401,3,1,1,1
1,1,8,23,1,3,2,1,9,2,2,1,1439.766551,1,1,0,1
1,1,8,24,1,3,2,1,8,2,2,1,1843.439488,1,1,1,1
1,1,8,25,1,3,2,1,4,1,1,1,1319.229762,1,1,1,1
1,1,8,26,1,3,2,3,10,2,2,1,791.3504336,2,1,0,1
1,1,8,27,1,3,1,3,1,1,1,1,1253.320869,2,1,0,0
1,1,8,28,1,3,1,1,2,1,1,1,1568.487971,1,1,0,1
