SID,CB,block,trial,eye,loc,locrep,eyerep,tarimg,urban,resp,corr,RT
1,1,2,45,1,1,0,1,1,1,1,1,810.0638541
1,1,2,46,2,1,1,0,4,1,1,1,701.9748695
1,1,2,47,2,3,0,1,8,2,2,1,1166.497657
1,1,2,48,1,3,1,0,7,2,2,1,940.2005614
1,1,3,1,2,2,99,99,2,1,1,1,770.3385192
1,1,3,2,1,4,0,0,6,2,1,0,591.9981869
1,1,3,3,2,3,0,0,4,1,1,1,804.8229914
1,1,3,4,2,3,1,1,8,2,2,1,720.6703892
1,1,3,5,2,1,0,1,7,2,2,1,552.2757373
1,1,3,6,1,1,1,0,6,2,2,1,846.8553701
1,1,3,7,1,2,0,1,9,2,2,1,769.7492549
1,1,3,8,1,2,1,1,1,1,1,1,670.8733777
1,1,3,9,2,4,0,0,10,2,1,0,504.8011583
1,1,3,10,2,3,0,1,5,1,1,1,840.1057597
1,1,3,11,2,4,0,1,2,1,1,1,683.1267434
1,1,3,12,1,4,1,0,4,1,1,1,644.1426377
1,1,3,13,1,4,1,1,6,2,2,1,678.7322671
1,1,3,14,2,1,0,0,9,2,2,1,624.337839
1,1,3,15,2,1,1,1,1,1,1,1,754.9830195
1,1,3,16,2,3,0,1,7,2,2,1,657.5120152
1,1,3,17,1,2,0,0,8,2,2,1,675.6987416
1,1,3,18,2,2,1,0,3,1,2,0,644.9508728
1,1,3,19,1,3,0,0,2,1,1,1,1215.611147
1,1,3,20,1,3,1,1,7,2,2,1,898.634657
1,1,3,21,1,3,1,1,5,1,1,1,754.7832851
1,1,3,22,2,1,0,0,2,1,1,1,961.4522322
1,1,3,23,1,1,1,0,3,1,1,1,775.5479629
1,1,3,24,1,1,1,1,6,2,2,1,740.5851544
1,1,3,25,1,2,0,1,5,1,1,1,1075.607948
1,1,3,26,2,2,1,0,8,2,2,1,588.7312638
1,1,3,27,2,4,0,1,1,1,1,1,609.8575795
1,1,3,28,2,4,1,1,4,1,1,1,549.6346273
1,1,3,29,1,3,0,0,2,1,1,1,747.5389873
1,1,3,30,1,3,1,1,5,1,1,1,602.1727764
1,1,3,31,2,3,1,0,9,2,2,1,606.7406978
1,1,3,32,1,2,0,0,1,1,1,1,738.4900276
1,1,3,33,1,1,0,1,10,2,2,1,705.2449982
1,1,3,34,2,1,1,0,8,2,2,1,1049.322843
1,1,3,35,1,1,1,0,4,1,1,1,1051.896947
1,1,3,36,1,4,0,1,3,1,1,1,1509.806379
1,1,3,37,1,4,1,1,2,1,1,1,510.103897
1,1,3,38,2,2,0,0,7,2,2,1,622.5427946
1,1,3,39,2,4,0,1,9,2,2,1,842.1117596
1,1,3,40,2,4,1,1,6,2,2,1,572.7874611
1,1,3,41,1,4,1,0,10,2,2,1,498.1602319
1,1,3,42,2,2,0,0,3,1,2,0,658.3503867
1,1,3,43,2,2,1,1,8,2,2,1,620.7342851
1,1,3,44,1,2,1,0,6,2,2,1,752.1495486
1,1,3,45,1,1,0,1,5,1,2,0,766.2591937
1,1,3,46,2,1,1,0,1,1,1,1,651.7918545
1,1,3,47,2,3,0,1,10,2,2,1,742.0172784
1,1,3,48,1,3,1,0,9,2,2,1,973.0163061
1,1,4,1,2,2,99,99,2,1,1,1,742.5998102
1,1,4,2,1,4,0,0,6,2,2,1,725.789103
1,1,4,3,2,3,0,0,4,1,1,1,573.431869
1,1,4,4,2,3,1,1,8,2,2,1,578.6130996
1,1,4,5,2,1,0,1,9,2,2,1,584.4368148
1,1,4,6,1,1,1,0,7,2,2,1,541.3560714
1,1,4,7,1,2,0,1,10,2,2,1,636.2972136
1,1,4,8,1,2,1,1,1,1,2,0,679.0996757
1,1,4,9,2,4,0,0,6,2,2,1,815.7125211
1,1,4,10,2,3,0,1,2,1,1,1,659.2772438
