SID,CB,block,trial,eye,loc,locrep,eyerep,tarimg,urban,resp,corr,RT
1,2,1,1,1,1,99,99,77,2,2,1,2267.477466
1,2,1,2,1,2,0,1,95,2,2,1,1354.48849
1,2,1,3,1,2,1,1,71,2,2,1,1120.970971
1,2,1,4,2,1,0,0,42,1,1,1,3624.5625
1,2,1,5,2,1,1,1,46,1,99,99,99000
1,2,1,6,1,1,1,0,109,2,99,99,99000
1,2,1,7,2,2,0,0,56,1,2,0,2164.781695
1,2,1,8,2,2,1,1,119,2,2,1,1258.389078
1,2,1,9,1,1,0,0,73,2,2,1,1884.542399
1,2,1,10,1,2,0,1,15,1,1,1,2510.001619
1,2,1,11,1,2,1,1,79,2,2,1,2350.059712
1,2,1,12,2,2,1,0,121,2,99,99,99000
1,2,1,13,1,1,0,0,53,1,1,1,4721.286763
1,2,1,14,2,1,0,0,76,2,99,99,99000
1,2,1,15,1,2,0,0,98,2,2,1,1277.873584
1,2,1,16,1,2,1,1,48,1,1,1,2239.178044
1,2,1,17,1,1,0,1,7,1,1,1,3866.771824
1,2,1,18,2,1,1,0,86,2,2,1,1020.191431
1,2,1,19,2,2,0,1,41,1,1,1,3864.115006
1,2,1,20,1,2,1,0,49,1,1,1,1026.015142
1,2,1,21,2,1,0,0,19,1,1,1,2237.953991
1,2,1,22,2,1,1,1,36,1,1,1,2048.564591
1,2,1,23,1,1,1,0,45,1,1,1,2371.380619
1,2,1,24,1,2,0,1,117,2,2,1,760.973921
1,2,1,25,1,2,1,1,37,1,1,1,1687.057831
1,2,1,26,2,2,1,0,112,2,99,99,99000
1,2,1,27,2,1,0,1,64,1,1,1,3372.794147
1,2,1,28,2,1,1,1,105,2,2,1,1154.331395
1,2,1,29,1,1,1,0,124,2,2,1,2648.780996
1,2,1,30,2,2,0,0,100,2,99,99,99000
1,2,1,31,2,1,0,1,120,2,2,1,2615.743738
1,2,1,32,2,2,0,1,35,1,99,99,99000
1,2,1,33,1,1,0,0,21,1,99,99,99000
1,2,1,34,1,1,1,1,111,2,2,1,4460.945227
1,2,1,35,2,2,0,0,75,2,99,99,99000
